cve,rank
CVE-2013-4160,114.0
CVE-2013-4162,2.0
CVE-2013-4163,106.0
CVE-2013-4205,3.0
CVE-2013-4220,1.0
CVE-2013-4244,19.0
CVE-2013-4247,1.0
CVE-2013-4248,21.0
CVE-2013-4254,1.0
CVE-2013-4263,1.0
CVE-2013-4264,1.0
CVE-2013-4265,1.0
CVE-2013-4270,1.0
CVE-2013-4299,11.0
CVE-2013-4300,1.0
CVE-2013-4312,1.0
CVE-2013-4350,1.0
CVE-2013-4358,178.0
CVE-2013-4387,3.0
CVE-2013-4470,1.0
CVE-2013-4483,756.0
CVE-2013-4511,31.0
CVE-2013-4512,1.0
CVE-2013-4513,1.0
CVE-2013-4514,1.0
CVE-2013-4515,1.0
CVE-2013-4516,1.0
CVE-2013-4526,1.0
CVE-2013-4527,1.0
CVE-2013-4530,1.0
CVE-2013-4531,1.0
CVE-2013-4532,3187.0
CVE-2013-4533,1.0
CVE-2013-4534,3.0
CVE-2013-4535,4.0
CVE-2013-4537,1.0
CVE-2013-4538,1.0
CVE-2013-4539,1.0
CVE-2013-4540,1.0
CVE-2013-4541,1.0
CVE-2013-4542,10.0
CVE-2013-4544,1.0
CVE-2013-4563,1.0
CVE-2013-4587,1.0
CVE-2013-4588,1.0
CVE-2013-4591,1.0
CVE-2013-4592,1.0
CVE-2013-4623,12.0
CVE-2013-4729,580.0
CVE-2013-5029,1.0
CVE-2013-5634,1.0
CVE-2013-5705,1.0
CVE-2013-6367,1.0
CVE-2013-6368,1.0
CVE-2013-6376,1.0
CVE-2013-6378,1.0
CVE-2013-6380,1.0
CVE-2013-6381,1.0
CVE-2013-6383,1.0
CVE-2013-6399,6.0
CVE-2013-6401,24.0
CVE-2013-6420,14.0
CVE-2013-6431,1.0
CVE-2013-6432,31.0
CVE-2013-6450,4.0
CVE-2013-6712,1.0
CVE-2013-6763,2.0
CVE-2013-6800,1.0
CVE-2013-7008,5.0
CVE-2013-7009,1.0
CVE-2013-7010,1.0
CVE-2013-7011,21.0
CVE-2013-7012,1.0
CVE-2013-7013,1.0
CVE-2013-7014,1.0
CVE-2013-7015,1.0
CVE-2013-7016,6.0
CVE-2013-7017,67.0
CVE-2013-7018,2.0
CVE-2013-7019,15.0
CVE-2013-7020,2.0
CVE-2013-7021,1.0
CVE-2013-7022,1.0
CVE-2013-7023,5.0
CVE-2013-7024,21.0
CVE-2013-7026,2.0
CVE-2013-7027,1.0
CVE-2013-7226,1442.5
CVE-2013-7262,1.0
CVE-2013-7263,15.0
CVE-2013-7264,21.0
CVE-2013-7265,20.0
CVE-2013-7266,4.0
CVE-2013-7267,10.0
CVE-2013-7268,32.0
CVE-2013-7269,45.0
CVE-2013-7270,45.0
CVE-2013-7271,46.0
CVE-2013-7281,29.0
CVE-2013-7294,13.0
CVE-2013-7299,2.0
CVE-2013-7327,91.0
CVE-2013-7328,141.0
CVE-2013-7339,27.0
CVE-2013-7341,1.0
CVE-2013-7348,1.0
CVE-2013-7421,6.0
CVE-2013-7441,20.0
CVE-2013-7446,2.0
CVE-2013-7449,62.0
CVE-2013-7455,1.0
CVE-2013-7456,7.0
CVE-2013-7459,202.0
CVE-2014-0038,1.0
CVE-2014-0049,1.0
CVE-2014-0063,6.0
CVE-2014-0064,9.0
CVE-2014-0069,1.0
CVE-2014-0076,3.0
CVE-2014-0077,1.0
CVE-2014-0101,1.0
CVE-2014-0122,1.0
CVE-2014-0123,1.0
CVE-2014-0124,19.0
CVE-2014-0125,1.0
CVE-2014-0126,1.0
CVE-2014-0127,3.0
CVE-2014-0129,11.0
CVE-2014-0131,1.0
CVE-2014-0142,1.0
CVE-2014-0143,152.0
CVE-2014-0145,4.0
CVE-2014-0146,1.0
CVE-2014-0160,3.0
CVE-2014-0182,30.0
CVE-2014-0185,1.0
CVE-2014-0195,3.0
CVE-2014-0196,1.0
CVE-2014-0203,3.0
CVE-2014-0205,1.0
CVE-2014-0206,1.0
CVE-2014-0207,231.0
CVE-2014-0213,578.0
CVE-2014-0214,2.0
CVE-2014-0216,3.0
CVE-2014-0217,1.0
CVE-2014-0218,3.0
CVE-2014-0221,1.0
CVE-2014-0224,1135.0
CVE-2014-0236,1.0
CVE-2014-0237,317.0
